name,sortBy,nameEntry,tagEntry,teacherEntry,dateText,dateKnown,tag,supertag,attributionName,group,lineage,indexExcerpts,indexSessions,searchable,teacherPage,attribute,allowTag
Upasikā Kee Nanayon,"(532, 1901.18)",True,True,True,1901,knownYear,Upasikā Kee Nanayon,Lay teachers,Upasikā Kee Nanayon,Lay teachers,,True,True,True,True,True,True
Dipa Ma,"(532, 1911.084)",True,True,False,25 March 1911,exactDate,Dipa Ma,Lay teachers,,,,,,,,,
Maurice Walsh,"(532, 1911.18)",True,True,False,1911,knownYear,Maurice Walsh,Lay teachers,,,,,,,,,
S. N. Goenka,"(532, 1924.03)",True,True,False,30 January 1924,exactDate,S. N. Goenka,Lay teachers,,,,,,,,,
Ram Dass,"(532, 1931.096)",True,True,False,6 April 1931,exactDate,Ram Dass,Lay teachers,,,,,,,,,
George Sharp,"(532, 1933.18)",True,True,True,1933,estimatedYear,George Sharp,Lay teachers,George Sharp,Lay teachers,,False,False,False,False,True,True
Jack Kornfield,"(532, 1945.197)",True,False,True,16 July 1945,exactDate,,,Jack Kornfield,Lay teachers,,False,False,False,False,True,False
Joseph Kappel,"(532, 1948.18)",True,True,False,1948,estimatedYear,Joseph Kappel,Lay teachers,,,,,,,,,
Paul Breiter,"(532, 1948.18)",True,False,True,1948,knownYear,,,Paul Breiter,Lay teachers,,False,False,False,False,True,False
Kittisaro,"(532, 1953.18)",True,False,True,1953,estimatedYear,,,Kittisaro,Lay teachers,,False,False,False,False,True,False
Debbie Stamp,"(532, 1955.18)",True,False,True,1955,estimatedYear,,,Debbie Stamp,Lay teachers,,True,True,True,True,True,False
Ruth Denison,"(532, 1956.184)",True,True,False,2 July 1956,exactDate,Ruth Denison,Lay teachers,,,,,,,,,
Beth Steff,"(532, 9999.0)",True,False,True,,unknown,,,Beth Steff,Lay teachers,,True,True,False,False,True,False
Nick Scott,"(532, 9999.0)",False,False,True,,unknown,,,Nick Scott,Lay teachers,,False,False,False,False,True,False
Jeed Chaiboonruang,"(532, 9999.0)",True,False,True,,unknown,,,Jeed Chaiboonruang,Lay teachers,,False,False,False,False,True,False
Janejira Sutanonpaiboon,"(532, 9999.0)",False,False,True,,unknown,,,Janejira Sutanonpaiboon,Lay teachers,,False,False,False,False,True,False
Rik Center,"(532, 9999.0)",True,False,True,,unknown,,,Rik Center,Lay teachers,,True,False,False,False,False,False
Jeanne Daskais,"(532, 9999.0)",True,False,True,,unknown,,,Jeanne Daskais,Lay teachers,,True,True,False,False,True,False
Manijeh Motaghy,"(532, 9999.0)",True,False,True,,unknown,,,Manijeh Motaghy,Lay teachers,,True,False,False,False,False,False
Gail Kappel,"(532, 9999.0)",True,False,True,,unknown,,,Gail Kappel,Lay teachers,,True,True,True,True,True,True
Thanissara,"(532, 9999.0)",False,False,True,,unknown,,,Thanissara,Lay teachers,,False,False,False,False,True,False
Wat Pahk Kut Wai,"(543, 1900.18)",True,True,False,1900,knownYear,Wat Pahk Kut Wai,Thai Ajahn Chah monasteries,,,,,,,,,
Wat Nong Pah Pong,"(543, 1954.18)",True,True,False,1954,knownYear,Wat Pah Pong,Thai Ajahn Chah monasteries,,,,,,,,,
Wat Tam Saeng Pet,"(543, 1969.18)",True,True,False,1969,knownYear,Wat Tam Saeng Pet,Thai Ajahn Chah monasteries,,,,,,,,,
Wat Keun,"(543, 1970.18)",True,True,False,1970,knownYear,Wat Keun,Thai Ajahn Chah monasteries,,,,,,,,,
Wat Pah Supattaram,"(543, 1971.18)",True,True,False,1971,estimatedYear,Wat Pah Supattaram,Thai Ajahn Chah monasteries,,,,,,,,,
Wat Pah Nanachat,"(543, 1975.18)",True,True,False,1975,knownYear,Wat Pah Nanachat,Thai Ajahn Chah monasteries,,,,,,,,,
Wat Fah Krahm,"(543, 1981.18)",True,True,False,1981,estimatedYear,Wat Fah Krahm,Thai Ajahn Chah monasteries,,,,,,,,,
Dtao Dtum Monastery,"(543, 1989.18)",True,True,False,1989,estimatedYear,Dtao Dum,Thai Ajahn Chah monasteries,,,,,,,,,
Poo Jum Gom Monastery,"(543, 1990.18)",True,True,False,1990,knownYear,Poo Jum Gom,Thai Ajahn Chah monasteries,,,,,,,,,
Anandagiri Monastery,"(543, 2008.18)",True,True,False,2008,estimatedYear,Anandagiri,Thai Ajahn Chah monasteries,,,,,,,,,
Wat Burapha,"(554, 1890.18)",True,True,False,1890,estimatedYear,Wat Burapha,Thai forest monasteries,,,,,,,,,
Wat Suan Mokkh,"(554, 1932.18)",True,True,False,1932,knownYear,Wat Suan Mokkh,Thai forest monasteries,,,,,,,,,
Wat Khao Wongkot,"(554, 1940.18)",True,True,False,1940,estimatedYear,Wat Khao Wongkot,Thai forest monasteries,,,,,,,,,
Wat Pah Ban Tat,"(554, 1955.18)",True,True,False,1955,knownYear,Wat Pah Ban Tat,Thai forest monasteries,,,,,,,,,
Wat Asokaram,"(554, 1962.128)",True,True,False,May 8 1962,exactDate,Wat Asokaram,Thai forest monasteries,,,,,,,,,
Cittaviveka Monastery,"(560, 1979.18)",True,True,False,1979,knownYear,Cittavivieka,Western Ajahn Chah monasteries,,,,,,,,,
Amaravati Monastery,"(560, 1984.18)",True,True,False,1984,knownYear,Amaravati,Western Ajahn Chah monasteries,,,,,,,,,
Kloster Dhammapala,"(560, 1992.18)",True,True,False,1992,knownYear,Dhammapala,Western Ajahn Chah monasteries,,,,,,,,,
Abhayagiri Monastery,"(560, 1996.156)",True,True,False,4 June 1996,exactDate,Abhayagiri,Western Ajahn Chah monasteries,,,,,,,,,
Tisarana Monastery,"(560, 2006.18)",True,True,False,2006,knownYear,Tisarana,Western Ajahn Chah monasteries,,,,,,,,,
Pacific Hermitage,"(560, 2010.18)",True,True,False,2010,knownYear,Pacific Hermitage,Western Ajahn Chah monasteries,,,,,,,,,
Wat Buridat,"(567, 1986.18)",True,True,False,1986,estimatedYear,Wat Buridat,Thai Forest monasteries in the West,,,,,,,,,
Wat Metta,"(567, 1990.18)",True,True,False,1990,knownYear,Wat Metta,Thai Forest monasteries in the West,,,,,,,,,
City of Ten Thousand Buddhas,"(570, 1974.18)",True,True,False,1974,knownYear,City of Ten Thousand Buddhas,Monasteries in other traditions,,,,,,,,,
Piyadasi Thera,"(9999, 0.0)",True,False,True,,unknown,,,Piyadasi Thera,Monastics,,False,False,True,True,True,True
anonymous,"(9999, 0.0)",False,False,True,,unknown,,,anonymous,,,True,False,False,False,False,False
Ajahn Sundara,"(9999, 0.0)",True,False,False,,unknown,,,,,,,,,,,
Mae Chee Kumfah,"(9999, 0.0)",True,False,False,,unknown,,,,,,,,,,,
